question_id	question_rank	document_title	paragraph_index
55	3	Sony_Music_Entertainment	23
55	4	Compact_disc	8
58	0	Buddhism	83
58	1	United_States_dollar	12
58	2	Renewable_energy_commercialization	23
58	3	Supreme_court	9
58	4	Sumer	18
61	0	Gramophone_record	28
61	1	Gramophone_record	19
61	2	Gramophone_record	29
61	3	Gramophone_record	23
61	4	Gramophone_record	27
64	0	Tajikistan	13
64	1	Russian_Soviet_Federative_Socialist_Republic	20
64	2	Russian_Soviet_Federative_Socialist_Republic	16
64	3	Russian_Soviet_Federative_Socialist_Republic	18
64	4	Russian_Soviet_Federative_Socialist_Republic	25
67	0	Boston	39
67	1	British_Isles	15
67	2	Tuvalu	13
67	3	Houston	34
67	4	Southampton	79
70	0	Compact_disc	8
70	1	Guinea-Bissau	46
70	2	History_of_science	62
70	3	Elizabeth_II	42
70	4	Classical_music	15
73	0	The_Blitz	4
73	1	The_Blitz	14
73	2	The_Blitz	17
73	3	Josip_Broz_Tito	54
73	4	Macintosh	3
76	0	Miami	41
76	1	USB	16
76	2	Railway_electrification_system	10
76	3	London	48
76	4	USB	3
79	0	Education	31
79	1	Arnold_Schwarzenegger	75
79	2	Unicode	14
79	3	Nonprofit_organization	6
79	4	Child_labour	10
82	0	Canadian_Armed_Forces	41
82	1	Cyprus	57
82	2	University_of_Kansas	35
82	3	BBC_Television	21
82	4	Airport	3
85	0	Old_English	6
85	1	Catalan_language	74
85	2	Dutch_language	9
85	3	Dutch_language	8
85	4	Translation	0
88	0	New_York_City	18
88	1	United_States_Army	4
88	2	Spanish_language_in_the_United_States	11
88	3	Israel	64
88	4	Affirmative_action_in_the_United_States	25
91	0	Great_power	19
91	1	Cyprus	37
91	2	Southern_Europe	16
91	3	Political_corruption	46
91	4	Greece	48
94	0	Sumer	16
94	1	Greece	58
94	2	Catalan_language	3
94	3	Spanish_language_in_the_United_States	0
94	4	Norfolk_Island	15
97	0	Diarrhea	13
97	1	Diarrhea	14
97	2	Diarrhea	12
97	3	Gramophone_record	52
97	4	Gene	41
100	0	Sino-Tibetan_relations_during_the_Ming_dynasty	8
100	1	Qing_dynasty	0
100	2	Qing_dynasty	61
100	3	Sino-Tibetan_relations_during_the_Ming_dynasty	57
100	4	Mandolin	15
103	0	Data_compression	23
103	1	Military_history_of_the_United_States	39
103	2	Montana	35
103	3	Israel	34
103	4	John_Kerry	0
106	0	Southampton	40
106	1	East_Prussia	6
106	2	Dissolution_of_the_Soviet_Union	8
106	3	East_Prussia	1
106	4	East_Prussia	7
109	0	History_of_science	62
109	1	Paris	58
109	2	Compact_disc	8
109	3	Slavs	29
109	4	Classical_music	15
112	0	Southampton	89
112	1	Queen_Victoria	33
112	2	Elizabeth_II	42
112	3	Queen_Victoria	28
112	4	Elizabeth_II	0
115	0	Hunting	34
115	1	Indigenous_peoples_of_the_Americas	7
115	2	Switzerland	26
115	3	Geological_history_of_Earth	22
115	4	United_States_Army	1
118	0	Bill_%26_Melinda_Gates_Foundation	8
118	1	Nigeria	0
118	2	Hunting	9
118	3	Nigeria	31
118	4	Hunting	10
121	0	Zinc	31
121	1	Zinc	2
121	2	Zinc	33
121	3	Zinc	21
121	4	Zinc	36
124	0	Hunting	14
124	1	British_Empire	27
124	2	Bill_%26_Melinda_Gates_Foundation	8
124	3	Hunting	9
124	4	Middle_Ages	20
127	0	Capacitor	7
127	1	Hokkien	7
127	2	Electric_motor	38
127	3	Association_football	21
127	4	Genome	15
130	0	Bird_migration	51
130	1	Bird	2
130	2	Bird_migration	27
130	3	Bird	54
130	4	Catalan_language	72
133	0	Richmond,_Virginia	40
133	1	Portugal	2
133	2	Warsaw_Pact	14
133	3	Seven_Years%27_War	4
133	4	Heian_period	14
136	0	Madonna_(entertainer)	28
136	1	Hunter-gatherer	23
136	2	Classical_music	63
136	3	MP3	36
136	4	Gramophone_record	84
139	0	Athanasius_of_Alexandria	0
139	1	United_States_Air_Force	55
139	2	Athanasius_of_Alexandria	18
139	3	Bird	20
139	4	Athanasius_of_Alexandria	10
142	0	Comics	16
142	1	Appalachian_Mountains	14
142	2	Tuvalu	45
142	3	Near_East	8
142	4	Race_(human_categorization)	6
145	0	Buddhism	114
145	1	Kathmandu	50
145	2	Kathmandu	16
145	3	Buddhism	96
145	4	Buddhism	109
148	0	The_Times	1
148	1	Somerset	6
148	2	Energy	1
148	3	Energy	3
148	4	Energy	0
151	0	American_Idol	58
151	1	Szlachta	55
151	2	Beer	19
151	3	Queen_(band)	43
151	4	Tristan_da_Cunha	3
154	0	Planck_constant	10
154	1	Hydrogen	7
154	2	Protestantism	25
154	3	Adolescence	30
154	4	Samurai	31
157	0	Gene	11
157	1	Quran	23
157	2	Textual_criticism	24
157	3	Age_of_Enlightenment	8
157	4	History_of_India	40
160	0	Airport	22
160	1	Anti-aircraft_warfare	0
160	2	Anti-aircraft_warfare	57
160	3	United_States_Air_Force	55
160	4	Anti-aircraft_warfare	58
163	0	Oklahoma	5
163	1	Eritrea	10
163	2	Lancashire	2
163	3	Rajasthan	9
163	4	Hunting	13
166	0	New_York_City	82
166	1	New_York_City	0
166	2	New_York_City	130
166	3	Military_history_of_the_United_States	1
166	4	New_York_City	107
169	0	Muammar_Gaddafi	68
169	1	New_York_City	139
169	2	Muammar_Gaddafi	51
169	3	Muammar_Gaddafi	60
169	4	Southampton	35
172	0	Houston	45
172	1	Houston	33
172	2	Letter_case	3
172	3	Letter_case	0
172	4	To_Kill_a_Mockingbird	35
175	0	Financial_crisis_of_2007%E2%80%9308	57
175	1	Szlachta	59
175	2	Asphalt	24
175	3	Szlachta	31
175	4	Asphalt	31
178	0	New_Haven,_Connecticut	43
178	1	New_Haven,_Connecticut	41
178	2	New_Haven,_Connecticut	10
178	3	New_Haven,_Connecticut	42
178	4	New_Haven,_Connecticut	3
181	0	The_Bronx	4
181	1	The_Bronx	6
181	2	The_Bronx	20
181	3	The_Bronx	52
181	4	The_Bronx	48
184	0	Russian_Soviet_Federative_Socialist_Republic	2
184	1	Russian_Soviet_Federative_Socialist_Republic	14
184	2	Modern_history	85
184	3	Dissolution_of_the_Soviet_Union	0
184	4	Space_Race	4
187	0	Catalan_language	49
187	1	Catalan_language	20
187	2	Catalan_language	30
187	3	Catalan_language	43
187	4	Catalan_language	32
190	0	Cotton	15
190	1	Phonology	12
190	2	New_York_City	18
190	3	United_States_Army	4
190	4	Law_of_the_United_States	0
193	0	Plymouth	58
193	1	Plymouth	42
193	2	Philadelphia	19
193	3	Tibet	29
193	4	Muammar_Gaddafi	35
196	0	Zhejiang	35
196	1	Nanjing	49
196	2	Multiracial_American	26
196	3	Tibet	7
196	4	Korean_War	44
199	0	San_Diego	27
199	1	San_Diego	29
199	2	San_Diego	31
199	3	San_Diego	45
199	4	San_Diego	5
202	0	Time	24
202	1	Macintosh	45
202	2	Alexander_Graham_Bell	54
202	3	Tuvalu	55
202	4	Melbourne	42
205	0	Westminster_Abbey	34
205	1	Roman_Republic	76
205	2	Canadian_football	14
205	3	Alexander_Graham_Bell	33
205	4	Alexander_Graham_Bell	43
208	0	Canon_law	3
208	1	Boston	49
208	2	Serbo-Croatian	13
208	3	Nigeria	43
208	4	Paris	78
211	0	USB	24
211	1	Southampton	46
211	2	Dutch_language	11
211	3	High-definition_television	35
211	4	Professional_wrestling	48
214	0	Brigham_Young_University	9
214	1	Brigham_Young_University	34
214	2	Houston	44
214	3	London	56
214	4	Federal_Bureau_of_Investigation	27
217	0	Cubism	34
217	1	Neoclassical_architecture	19
217	2	Gothic_architecture	0
217	3	Cubism	30
217	4	University_of_Notre_Dame	35
220	0	Queen_(band)	45
220	1	Canadian_Armed_Forces	0
220	2	Hard_rock	10
220	3	Hard_rock	13
220	4	Hydrogen	9
223	0	Egypt	59
223	1	Roman_Republic	81
223	2	USB	30
223	3	Buddhism	111
223	4	Dialect	38
226	0	Pub	76
226	1	Pub	51
226	2	Pub	88
226	3	Pub	86
226	4	British_Empire	39
229	0	Crucifixion_of_Jesus	7
229	1	Buddhism	96
229	2	North_Carolina	55
229	3	Freemasonry	25
229	4	Christian	10
232	0	Police	14
232	1	Police	15
232	2	Police	7
232	3	Police	35
232	4	Police	6
235	0	List_of_numbered_streets_in_Manhattan	0
235	1	List_of_numbered_streets_in_Manhattan	1
235	2	List_of_numbered_streets_in_Manhattan	3
235	3	Near_East	29
235	4	List_of_numbered_streets_in_Manhattan	27
238	0	Southampton	89
238	1	British_Empire	26
238	2	Queen_Victoria	28
238	3	Tucson,_Arizona	6
238	4	History_of_India	2
241	0	USB	2
241	1	USB	26
241	2	Canadian_Armed_Forces	36
241	3	USB	8
241	4	USB	24
244	0	Department_store	22
244	1	British_Isles	28
244	2	New_York_City	107
244	3	New_York_City	112
244	4	Federalism	33
247	0	To_Kill_a_Mockingbird	15
247	1	To_Kill_a_Mockingbird	10
247	2	John,_King_of_England	1
247	3	To_Kill_a_Mockingbird	21
247	4	Athanasius_of_Alexandria	32
250	0	Ashkenazi_Jews	24
250	1	Royal_Institute_of_British_Architects	16
250	2	USB	12
250	3	Ashkenazi_Jews	0
250	4	Plymouth	78
253	0	Samurai	18
253	1	Samurai	49
253	2	Separation_of_church_and_state_in_the_United_States	34
253	3	Samurai	46
253	4	Samurai	45
256	0	London	56
256	1	University	12
256	2	University	11
256	3	Israel	53
256	4	North_Carolina	45
259	0	Adult_contemporary_music	4
259	1	John_von_Neumann	32
259	2	Planck_constant	21
259	3	Planck_constant	14
259	4	Nigeria	5
262	0	Emotion	33
262	1	Bird	2
262	2	Appalachian_Mountains	7
262	3	Bird	60
262	4	Transistor	6
265	0	Child_labour	50
265	1	Dog	50
265	2	Dog	66
265	3	Dog	68
265	4	Dog	16
268	0	St._John%27s,_Newfoundland_and_Labrador	22
268	1	Renewable_energy_commercialization	13
268	2	Jehovah%27s_Witnesses	15
268	3	Presbyterianism	26
268	4	Jehovah%27s_Witnesses	12
271	0	Mexico_City	0
271	1	Mexico_City	12
271	2	Mexico_City	56
271	3	Mexico_City	2
271	4	Mexico_City	1
274	0	Buddhism	10
274	1	Buddhism	71
274	2	Buddhism	79
274	3	George_VI	13
274	4	Space_Race	19
277	0	Slavs	29
277	1	Slavs	12
277	2	Paris	58
277	3	Internet_service_provider	9
277	4	Serbo-Croatian	19
280	0	Race_(human_categorization)	2
280	1	Adolescence	44
280	2	Marshall_Islands	44
280	3	Czech_language	15
280	4	Botany	39
283	0	Detroit	38
283	1	Education	25
283	2	Education	26
283	3	Computer	34
283	4	Detroit	39
286	0	East_India_Company	30
286	1	East_India_Company	24
286	2	Dutch_Republic	15
286	3	History_of_India	64
286	4	East_India_Company	28
289	0	Steven_Spielberg	1
289	1	Madrasa	10
289	2	Cyprus	41
289	3	Madonna_(entertainer)	4
289	4	Steven_Spielberg	26
292	0	Raleigh,_North_Carolina	9
292	1	Atlantic_City,_New_Jersey	45
292	2	Raleigh,_North_Carolina	0
292	3	Atlantic_City,_New_Jersey	0
292	4	North_Carolina	54
295	0	Antarctica	3
295	1	Plymouth	41
295	2	Southeast_Asia	11
295	3	Nonprofit_organization	9
295	4	Neoclassical_architecture	6
298	0	Cyprus	20
298	1	Cyprus	16
298	2	Cyprus	40
298	3	Cyprus	2
298	4	Cyprus	12
